date,fng_value
27-03-2025,40
26-03-2025,47
25-03-2025,46
24-03-2025,45
23-03-2025,30
22-03-2025,32
21-03-2025,31
20-03-2025,49
19-03-2025,32
18-03-2025,34
17-03-2025,32
16-03-2025,30
15-03-2025,46
14-03-2025,27
13-03-2025,45
12-03-2025,34
11-03-2025,24
10-03-2025,20
09-03-2025,27
08-03-2025,28
07-03-2025,34
06-03-2025,25
05-03-2025,20
04-03-2025,15
03-03-2025,33
02-03-2025,26
01-03-2025,20
28-02-2025,16
27-02-2025,10
26-02-2025,21
25-02-2025,25
24-02-2025,49
23-02-2025,50
22-02-2025,49
21-02-2025,55
20-02-2025,49
19-02-2025,44
18-02-2025,47
17-02-2025,51
16-02-2025,54
15-02-2025,50
14-02-2025,48
13-02-2025,50
12-02-2025,46
11-02-2025,47
10-02-2025,43
09-02-2025,46
08-02-2025,44
07-02-2025,44
06-02-2025,49
05-02-2025,54
04-02-2025,72
03-02-2025,44
02-02-2025,60
01-02-2025,68
31-01-2025,76
30-01-2025,70
29-01-2025,72
28-01-2025,72
27-01-2025,71
26-01-2025,73
25-01-2025,75
24-01-2025,75
23-01-2025,75
22-01-2025,84
21-01-2025,76
20-01-2025,76
19-01-2025,77
18-01-2025,77
17-01-2025,75
16-01-2025,75
15-01-2025,70
14-01-2025,63
13-01-2025,61
12-01-2025,62
11-01-2025,69
10-01-2025,50
09-01-2025,69
08-01-2025,70
07-01-2025,78
06-01-2025,76
05-01-2025,72
04-01-2025,73
03-01-2025,74
02-01-2025,70
01-01-2025,66
31-12-2024,64
30-12-2024,65
29-12-2024,73
28-12-2024,72
27-12-2024,74
26-12-2024,79
25-12-2024,73
24-12-2024,73
23-12-2024,70
22-12-2024,73
21-12-2024,73
20-12-2024,74
19-12-2024,75
18-12-2024,81
17-12-2024,87
16-12-2024,83
15-12-2024,80
14-12-2024,83
13-12-2024,76
12-12-2024,83
11-12-2024,74
10-12-2024,78
09-12-2024,78
08-12-2024,79
07-12-2024,75
06-12-2024,72
05-12-2024,84
04-12-2024,78
03-12-2024,76
02-12-2024,80
01-12-2024,81
30-11-2024,84
29-11-2024,78
28-11-2024,77
27-11-2024,75
26-11-2024,79
25-11-2024,82
24-11-2024,80
23-11-2024,93
22-11-2024,94
21-11-2024,82
20-11-2024,83
19-11-2024,90
18-11-2024,83
17-11-2024,90
16-11-2024,86
15-11-2024,80
14-11-2024,88
13-11-2024,84
12-11-2024,80
11-11-2024,76
10-11-2024,78
09-11-2024,75
08-11-2024,75
07-11-2024,77
06-11-2024,70
05-11-2024,70
04-11-2024,70
03-11-2024,74
02-11-2024,72
01-11-2024,75
31-10-2024,77
30-10-2024,77
29-10-2024,72
28-10-2024,72
27-10-2024,74
25-10-2024,72
24-10-2024,69
23-10-2024,71
22-10-2024,70
21-10-2024,72
20-10-2024,73
19-10-2024,72
18-10-2024,73
17-10-2024,71
16-10-2024,73
15-10-2024,65
14-10-2024,48
13-10-2024,50
12-10-2024,49
11-10-2024,32
10-10-2024,39
09-10-2024,49
08-10-2024,49
07-10-2024,50
06-10-2024,50
05-10-2024,49
04-10-2024,41
03-10-2024,37
02-10-2024,42
01-10-2024,50
30-09-2024,61
29-09-2024,63
28-09-2024,64
27-09-2024,61
26-09-2024,50
25-09-2024,59
24-09-2024,54
23-09-2024,50
22-09-2024,52
21-09-2024,54
20-09-2024,54
19-09-2024,49
18-09-2024,45
17-09-2024,33
16-09-2024,39
15-09-2024,51
14-09-2024,50
13-09-2024,32
12-09-2024,31
11-09-2024,37
10-09-2024,33
09-09-2024,26
08-09-2024,29
07-09-2024,23
06-09-2024,22
05-09-2024,29
04-09-2024,27
03-09-2024,26
02-09-2024,26
01-09-2024,26
31-08-2024,29
30-08-2024,34
29-08-2024,29
28-08-2024,30
27-08-2024,48
26-08-2024,55
25-08-2024,54
24-08-2024,56
23-08-2024,34
22-08-2024,39
21-08-2024,26
20-08-2024,30
19-08-2024,28
18-08-2024,31
17-08-2024,25
16-08-2024,27
15-08-2024,29
14-08-2024,30
13-08-2024,31
12-08-2024,25
11-08-2024,39
10-08-2024,40
09-08-2024,48
08-08-2024,20
07-08-2024,29
06-08-2024,17
05-08-2024,26
04-08-2024,34
03-08-2024,37
02-08-2024,57
01-08-2024,52
31-07-2024,61
30-07-2024,67
29-07-2024,74
28-07-2024,71
27-07-2024,72
26-07-2024,68
25-07-2024,68
24-07-2024,69
23-07-2024,71
22-07-2024,70
21-07-2024,74
20-07-2024,74
19-07-2024,60
18-07-2024,61
17-07-2024,69
16-07-2024,65
15-07-2024,52
14-07-2024,33
13-07-2024,25
12-07-2024,25
11-07-2024,29
10-07-2024,28
09-07-2024,27
08-07-2024,28
07-07-2024,29
06-07-2024,26
05-07-2024,29
04-07-2024,44
03-07-2024,50
02-07-2024,51
01-07-2024,53
30-06-2024,47
29-06-2024,30
28-06-2024,47
27-06-2024,40
26-06-2024,46
25-06-2024,30
24-06-2024,51
